Fecha,Duración (días),Evento,Tipología,Web,Entidades colaboradoras,Responsables
26/03/2025,2,IV Jornadas de Cultura Libre de la URJC con la sesión “Integración de conjuntos de datos abiertos en Wikidata”,Eventos formativos y de comunicación,https://eventos.urjc.es/126904/detail/iv-jornadas-de-cultura-libre-de-la-urjc.html,"Wikimedia España, Universidad Rey Juan Carlos",1
01/05/2025,31,Concurso Coordinate Me,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Events/Coordinate_Me_2025,"Wikimedia Österreich, Wikimedia Argentina, Wikimedia Armenia, Wikimedia Canada, Wikimedia Chile, Wikimedia Deutschland, Wikimedia España, Wikimédia France, Wikimedia Ghana User Group, Wikimedia Nederland, Wikimédiens du Niger User Group, Wikimedia Community User Group Sénégal, Wikimedians of Tchad User Group, Wikimedistas de Uruguay, Volunteer Supporters Network, Wikimedia CEE Hub.",1
25/06/2025,3,"Participación en el I Congreso Internacional de Arqueología Digital y Gestión del Patrimonio, con una charla sobre el uso de Wikidata en instituciones GLAM",Eventos formativos y de comunicación,https://filosofia.uca.es/noticia/i-congreso-de-arqueologia-digital-y-gestion-del-patrimonio/,"Wikimedia España, Universidad de Cádiz",1
28/07/2025,1,Wikidata en el contexto GLAM,Eventos formativos y de comunicación,https://wikimedia.es/explorando-wikidata-en-el-contexto-glam-proyectos-aprendizajes-y-colaboracion-abierta/,Wikimedia España,3
31/08/2025,1,"Participación en WikiCite 2025 con una sesión sobre ""Making GLAM resources more accessible and reusable: a FAIR case study on European Literary Bibliography""",Eventos formativos y de comunicación,https://meta.wikimedia.org/wiki/WikiCite_2025,"Wikimedia España, Wikimedia Switzerland",3
08/09/2025,1,Participación en el congreso Digital Heritage 2025 con el taller “Collections as Data across GLAM Labs”,Eventos formativos y de comunicación,https://digitalheritage2025.unisi.it/,"Wikimedia España, Università di Siena",3
15/10/2025,1,"Using Wikidata in GLAM Institutions: a Labs Approach, en el Monthly Wikimedia Research Showcase",Eventos formativos y de comunicación,https://www.mediawiki.org/wiki/Wikimedia_Research/Showcase,"Wikimedia España, Wikimedia Foundation",1
22/10/2025,1,"Participación en el VII Congreso de la Sociedad Internacional de Humanidades Digitales Hispánicas, con una sesión sobre el ""Uso de los proyectos Wikimedia en instituciones y proyectos de patrimonio cultural""",Eventos formativos y de comunicación,https://hdh2025.uv.es/,"Wikimedia España, Universidad de Valencia, Humanidades Digitales Hispánicas",2
21/11/2025,1,"Participación en las VIII Jornadas BIMUS con la sesión ""Uso de Wikidata para el enriquecimiento de datos en museos""",Eventos formativos y de comunicación,https://www.cultura.gob.es/cultura/areas/museos/mc/bimus/viii-jornadas.html,"Wikimedia España, Red de Bibliotecas de Museos",1
25/02/2026,1,Wikidata en el contexto GLAM II,Eventos formativos y de comunicación,https://meta.wikimedia.org/wiki/Wikidata_en_el_contexto_GLAM_II,Wikimedia España,3
13/03/2026,1,Editatón Visibiliza-T,Concurso de edición,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/Taller_de_Edici%C3%B3n_Visibiliza-T,"Wikimedia España, Universidad de Cádiz",1
29/04/2026,1,Formación sobre Wikidata para Fundación Sancho el Sabio,Eventos formativos y de comunicación,,"Wikimedia España, Fundación Sancho el Sabio",1
01/05/2026,1,Concurso Coordinate Me,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Events/Coordinate_Me_2026,"Wikimedia Österreich, Wikimedians of Albanian Language User Group, Wikimedia Argentina, Wikimedia Australia, Azerbaijani Wikimedians User Group, Wikimedia Brasil, Wikimedia Canada, Wikimedia Chile, Wikimedia Deutschland, Wikimedia España, Wikimédia France, Wikimedia Community User Group Greece, Iranian Wikimedians User Group, Wikimedians of Latvia User Group, Wikimedia Ghana User Group, Wikimedia MKD, Wikimedia Nederland, Wikimédiens du Niger User Group, Wikimedia User Group Nigeria, Wikimedia Polska, North-West Russia Wiki-Historians User Group, Wikimedia Community User Group Sénégal, Wikimedia Serbia, Wikimedia Taiwan, Tajik Wikimedians User Group, Wikimedians of Tchad User Group, Wikimedia Serbia, Wikimedians of the Uzbek Language User Group, CA Youth Community, Wikimedia CEE Hub",1
14/05/2026,1,Conferencia Wikidata y los datos abiertos: de los catálogos a las visualizaciones interactivas,Eventos formativos y de comunicación,https://www.sanchoelsabio.eus/es/actividades/conferencia-wikidata-y-los-datos-abiertos-de-los-catalogos-a-las-visualizaciones-interactivas-presencial-online/ac-35/,"Wikimedia España, Fundación Sancho el Sabio",2
17/07/2026,1,Wikisprint de datos para una historia interactiva de la sociología española,Eventos formativos y de comunicación,https://congreso2026.fes-sociologia.com/wikisprint-de-datos-para-una-historia-interactiva-de-la-sociologia-espanola/,"Wikimedia España, Federación Española de Sociología",2
